Smiles,Standardized_SMILES_chembl,Standardized_InChI_chembl,Standardized_InChIKey_chembl,ChEMBL_ID,molecule_chembl_id,ACHE,ADORA1,ADORA2A,ADORA3,ADRB1,ADRB2,CYP11B1,CYP11B2,CYP1A2,CYP2C19,CYP3A4,EDNRA,FLT1,GABRA1,KDR,OPRK1,OPRM1,PIK3CA,PIK3CD,PIK3CG,PTGS1,PTGS2,SLC6A4,TTR
CC(N)C12CC3CC(CC(C3)C1)C2,CC(N)C12CC3CC(CC(C3)C1)C2,"InChI=1S/C12H21N/c1-8(13)12-5-9-2-10(6-12)4-11(3-9)7-12/h8-11H,2-7,13H2,1H3",UBCHPRBFMUDMNC-UHFFFAOYSA-N,CHEMBL959,CHEMBL959,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,
Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,"InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2",MQJKPEGWNLWLTK-UHFFFAOYSA-N,CHEMBL1043,CHEMBL1043,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,"InChI=1S/C22H19ClN4O5/c1-12-8-21(27-32-12)26-22(28)25-16-5-4-13(9-15(16)23)31-18-6-7-24-17-11-20(30-3)19(29-2)10-14(17)18/h4-11H,1-3H3,(H2,25,26,27,28)",SPMVMDHWKHCIDT-UHFFFAOYSA-N,CHEMBL1289494,CHEMBL1289494,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,
COC([C@H](Oc1nc(C)cc(C)n1)C(O)=O)(c1ccccc1)c1ccccc1,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,"InChI=1S/C22H22N2O4/c1-15-14-16(2)24-21(23-15)28-19(20(25)26)22(27-3,17-10-6-4-7-11-17)18-12-8-5-9-13-18/h4-14,19H,1-3H3,(H,25,26)/t19-/m1/s1",OUJTZYPIHDYQMC-LJQANCHMSA-N,CHEMBL1111,CHEMBL1111,,,,,,,,,,,,1.0,,,,,,,,,,,,
CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC,"InChI=1S/C23H22N2O4/c1-3-28-23(26)22-18(14-27-2)21-17-11-16(29-13-15-7-5-4-6-8-15)9-10-19(17)25-20(21)12-24-22/h4-12,25H,3,13-14H2,1-2H3",ALBKMJDFBZVHAK-UHFFFAOYSA-N,CHEMBL1518572,CHEMBL1518572,,,,,,,,,,,,,,1.0,,,,,,,,,,
CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,"InChI=1S/C20H21FN2O/c1-23(2)11-3-10-20(17-5-7-18(21)8-6-17)19-9-4-15(13-22)12-16(19)14-24-20/h4-9,12H,3,10-11,14H2,1-2H3",WSEQXVZVJXJVFP-UHFFFAOYSA-N,CHEMBL549,CHEMBL549,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,1.0,
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,"InChI=1S/C14H19Cl2NO2/c15-8-10-17(11-9-16)13-6-4-12(5-7-13)2-1-3-14(18)19/h4-7H,1-3,8-11H2,(H,18,19)",JCKYGMPEJWAADB-UHFFFAOYSA-N,CHEMBL515,CHEMBL515,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,
Cc1ccc(cc1)C(=O)c1cc(O)c(O)c(c1)[N+]([O-])=O,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,"InChI=1S/C14H11NO5/c1-8-2-4-9(5-3-8)13(17)10-6-11(15(19)20)14(18)12(16)7-10/h2-7,16,18H,1H3",MIQPIUSUKVNLNT-UHFFFAOYSA-N,CHEMBL1324,CHEMBL1324,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,1.0
CCc1cc2CC(Cc2cc1CC)NC[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,"InChI=1S/C24H28N2O3/c1-3-14-9-16-11-18(12-17(16)10-15(14)4-2)25-13-22(28)19-5-7-21(27)24-20(19)6-8-23(29)26-24/h5-10,18,22,25,27-28H,3-4,11-13H2,1-2H3,(H,26,29)/t22-/m0/s1",QZZUEBNBZAPZLX-QFIPXVFZSA-N,CHEMBL1095777,CHEMBL1095777,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
Nc1nc(=O)c2nc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cnc2[nH]1,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,"InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12,21H,5-7H2,(H,24,29)(H,27,28)(H,31,32)(H3,20,22,25,26,30)/t12-/m0/s1",OVBPIULPVIDEAO-LBPRGKRZSA-N,CHEMBL1622,CHEMBL1622,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,
COc1cc(cc(OC)c1OC)C(=O)NCc1ccc(OCCN(C)C)cc1,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,"InChI=1S/C21H28N2O5/c1-23(2)10-11-28-17-8-6-15(7-9-17)14-22-21(24)16-12-18(25-3)20(27-5)19(13-16)26-4/h6-9,12-13H,10-11,14H2,1-5H3,(H,22,24)",FEZBIKUBAYAZIU-UHFFFAOYSA-N,CHEMBL1201256,CHEMBL1201256,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,Cn1c(=O)c2c(ncn2C)n(C)c1=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,CHEMBL113,CHEMBL113,0.0,1.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nc1nccc(Oc2ccc(NC(=O)c3c[nH]cc(-c4ccc(F)cc4)c3=O)cc2F)c1Cl,Nc1nccc(Oc2ccc(NC(=O)c3c[nH]cc(-c4ccc(F)cc4)c3=O)cc2F)c1Cl,"InChI=1S/C23H15ClF2N4O3/c24-20-19(7-8-29-22(20)27)33-18-6-5-14(9-17(18)26)30-23(32)16-11-28-10-15(21(16)31)12-1-3-13(25)4-2-12/h1-11H,(H2,27,29)(H,28,31)(H,30,32)",PDYXPCKITKHFOZ-UHFFFAOYSA-N,CHEMBL2143592,CHEMBL2143592,,,,,,,,,,,,,,,1.0,,,,,,,,,
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,"InChI=1S/C22H30N2O2S/c1-3-21(25)24(19-8-5-4-6-9-19)22(18-26-2)12-15-23(16-13-22)14-11-20-10-7-17-27-20/h4-10,17H,3,11-16,18H2,1-2H3",GGCSSNBKKAUURC-UHFFFAOYSA-N,CHEMBL658,CHEMBL658,,,,,,,,,,,,,,,,,1.0,,,,,,,
"CCOC(=O)c1cncn1[C@@H](C)c1ccccc1 |&1:10,r|",CCOC(=O)c1cncn1[C@@H](C)c1ccccc1,"InChI=1S/C14H16N2O2/c1-3-18-14(17)13-9-15-10-16(13)11(2)12-7-5-4-6-8-12/h4-11H,3H2,1-2H3/t11-/m0/s1",NPUKDXXFDDZOKR-NSHDSACASA-N,CHEMBL279678,CHEMBL279678,,,,,,,,,1.0,1.0,1.0,,,0.0,,,,,,,,,,
CCCC(CCC)C(O)=O,CCCC(CCC)C(=O)O,"InChI=1S/C8H16O2/c1-3-5-7(6-4-2)8(9)10/h7H,3-6H2,1-2H3,(H,9,10)",NIJJYAXOARWZEE-UHFFFAOYSA-N,CHEMBL109,CHEMBL109,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,
OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)",DCOPUUMXTXDBNB-UHFFFAOYSA-N,CHEMBL139,CHEMBL139,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,1.0,1.0,0.0,0.0
Cc1ccc(cc1)S(=O)(=O)Nc1nc2ccccc2nc1Nc1ccc2nsnc2c1,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1,"InChI=1S/C21H16N6O2S2/c1-13-6-9-15(10-7-13)31(28,29)27-21-20(23-16-4-2-3-5-17(16)24-21)22-14-8-11-18-19(12-14)26-30-25-18/h2-12H,1H3,(H,22,23)(H,24,27)",MQMKRQLTIWPEDM-UHFFFAOYSA-N,CHEMBL3218575,CHEMBL3218575,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O |t:37|,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C25H43NO18/c1-6-11(26-8-2-7(3-27)12(30)15(33)13(8)31)14(32)19(37)24(40-6)43-22-10(5-29)42-25(20(38)17(22)35)44-21-9(4-28)41-23(39)18(36)16(21)34/h2,6,8-39H,3-5H2,1H3/t6-,8+,9-,10-,11-,12-,13+,14+,15+,16-,17-,18-,19-,20-,21-,22-,23-,24-,25-/m1/s1",XUFXOAAUWZOOIT-SXARVLRPSA-N,CHEMBL1566,CHEMBL1566,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,
CCN(CC)c1cc(C)nc2ncnn12,CCN(CC)c1cc(C)nc2ncnn12,"InChI=1S/C10H15N5/c1-4-14(5-2)9-6-8(3)13-10-11-7-12-15(9)10/h6-7H,4-5H2,1-3H3",GSNOZLZNQMLSKJ-UHFFFAOYSA-N,CHEMBL132767,CHEMBL132767,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",RFHAOTPXVQNOHP-UHFFFAOYSA-N,CHEMBL106,CHEMBL106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,"InChI=1S/C14H16N2O2/c1-3-18-14(17)13-9-15-10-16(13)11(2)12-7-5-4-6-8-12/h4-11H,3H2,1-2H3/t11-/m1/s1",NPUKDXXFDDZOKR-LLVKDONJSA-N,CHEMBL681,CHEMBL681,,,,,,,1.0,1.0,,,,,,0.0,,,,,,,,,,
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,"InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3",KNHUKKLJHYUCFP-UHFFFAOYSA-N,CHEMBL565,CHEMBL565,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,
OC(=O)c1ccccc1OC(=O)c1ccccc1O,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,"InChI=1S/C14H10O5/c15-11-7-3-1-5-9(11)14(18)19-12-8-4-2-6-10(12)13(16)17/h1-8,15H,(H,16,17)",WVYADZUPLLSGPU-UHFFFAOYSA-N,CHEMBL154111,CHEMBL154111,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,
Oc1c(I)cc(Cl)c2cccnc12,Oc1c(I)cc(Cl)c2cccnc12,"InChI=1S/C9H5ClINO/c10-6-4-7(11)9(13)8-5(6)2-1-3-12-8/h1-4,13H",QCDFBFJGMNKBDO-UHFFFAOYSA-N,CHEMBL497,CHEMBL497,,,,,,,,,1.0,0.0,0.0,,,,,1.0,,,,,,,,
